STATION_CODE,YEAR,LATITUDE,LONGITUDE,ELEVATION,STATION_NAME,TMAX,PRCP,TMIN,SNWD,SNOW
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD, 289,   0, 217,   0,   0
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD,289, 30,228,  0,  0
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD,283,  0,222,  0,  0
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD,283,  0,233,  0,  0
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD,289, 25,222,  0,  0
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD,289, 41,222,  0,  0
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD,278,  0,228,  0,  0
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD,267,  0,217,  0,  0
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD,272,  0,222,  0,  0
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD,278,  0,183,  0,  0
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD,267, 56,189,  0,  0
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD,278,  0,194,  0,  0
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD,267,  8,161,  0,  0
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD,267,  0,183,  0,  0
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD,278,  0,178,  0,  0
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD,267,  0,222,  0,  0
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD,267,  0,211,  0,  0
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD,272,  0,211,  0,  0
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD,272,  3,194,  0,  0
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD,272,  0,217,  0,  0
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD,278, 51,217,  0,  0
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD,272,  0,217,  0,  0
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD,267, 53,211,  0,  0
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD,267,  0,211,  0,  0
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD,267, 10,200,  0,  0
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD,278, 15,222,  0,  0
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD,272, 41,217,  0,  0
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD,272,  0,211,  0,  0
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD,272, 86,222,  0,  0
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD,272, 28,206,  0,  0
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD,272, 15,217,  0,  0
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD, 267,   0, 211,   0,   0
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD,278, 15,211,  0,  0
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD,272,  0,222,  0,  0
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD,267, 64,206,  0,  0
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD,278, 53,211,  0,  0
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD,278,  5,233,  0,  0
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD,278,  3,211,  0,  0
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD,267, 18,233,  0,  0
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD,278, 41,206,  0,  0
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD,267, 18,211,  0,  0
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD,272, 13,211,  0,  0
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD,267, 46,222,  0,  0
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD,261,  8,211,  0,  0
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD,261,  0,217,  0,  0
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD,261, 30,206,  0,  0
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD,267, 15,200,  0,  0
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD,278,  0,222,  0,  0
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD,272,  0,228,  0,  0
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD,278,  5,211,  0,  0
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD,278, 69,211,  0,  0
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD,283,  0,217,  0,  0
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD,272, 89,200,  0,  0
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD,272,  0,211,  0,  0
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD,267,  0,211,  0,  0
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD,267, 18,200,  0,  0
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD,267,  0,211,  0,  0
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD,267,  0,217,  0,  0
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD,272,  5,222,  0,  0
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD,,,,,
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD,,,,,
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD,,,,,
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD, 272,   0, 211,   0,   0
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD,289,  0,206,  0,  0
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD,278,  5,222,  0,  0
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD,278, 71,211,  0,  0
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD,278,  0,228,  0,  0
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD,278, 25,211,  0,  0
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD,289,  0,211,  0,  0
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD,294,  0,189,  0,  0
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD,294, 66,206,  0,  0
