"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49"
"V1","ACW00011604","ACW00011604","ACW00011604","ACW00011604","ACW00011604","ACW00011604","ACW00011604","ACW00011604","ACW00011604","ACW00011604","ACW00011604","ACW00011604","ACW00011604","ACW00011604","ACW00011604","ACW00011604","ACW00011604","ACW00011604","ACW00011604","ACW00011604","ACW00011604","ACW00011604","ACW00011604","ACW00011604","ACW00011604","ACW00011604","ACW00011604","ACW00011604","ACW00011604","ACW00011604","ACW00011604","ACW00011604","ACW00011604","ACW00011604","ACW00011604","ACW00011604","ACW00011604","ACW00011604","ACW00011604","ACW00011604","ACW00011604","ACW00011604","ACW00011604","ACW00011604","ACW00011604","ACW00011604","ACW00011604","ACW00011604","ACW00011604"
"V2","1949","1949","1949","1949","1949","1949","1949","1949","1949","1949","1949","1949","1949","1949","1949","1949","1949","1949","1949","1949","1949","1949","1949","1949","1949","1949","1949","1949","1949","1949","1949","1949","1949","1949","1949","1949","1949","1949","1949","1949","1949","1949","1949","1949","1949","1949","1949","1949","1949"
"V3","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","3","3","3","3","3","3","3","4","4","4","4","4","4","5","5","5","5","5","5","6","6","6","6","6","6","6","7","7","7","7","7","8","8","8"
"V4","TMAX","TMIN","PRCP","SNOW","SNWD","WT16","TMAX","TMIN","PRCP","SNOW","SNWD","PGTM","WDFG","WSFG","WT16","TMAX","TMIN","PRCP","SNOW","SNWD","WT08","WT16","TMAX","TMIN","PRCP","SNOW","SNWD","WT16","TMAX","TMIN","PRCP","SNOW","SNWD","WT16","TMAX","TMIN","PRCP","SNOW","SNWD","WT03","WT16","TMAX","TMIN","PRCP","SNOW","SNWD","PRCP","SNOW","SNWD"
"V5"," 289"," 217","   0","   0","   0",NA," 267"," 211","   0","   0","   0","1300","  68"," 125","   1"," 272"," 211","   0","   0","   0",NA,NA," 278"," 194","   0","   0","   0",NA," 283"," 250","   8","   0","   0","   1"," 300"," 256","   0","   0","   0",NA,"   1"," 300"," 250","   0","   0","   0","   0","   0","   0"
"V9","289","228"," 30","  0","  0","  1","278","211"," 15","  0","  0",NA,NA,NA,"  1","289","206","  0","  0","  0","  1",NA,"283","217","  5","  0","  0","  1","283","244","  3","  0","  0","  1","294","239","  0","  0","  0",NA,NA,"300","211","  0","  0","  0"," 13","  0","  0"
"V13","283","222","  0","  0","  0",NA,"272","222","  0","  0","  0",NA,NA,NA,"  1","278","222","  5","  0","  0",NA,"  1","283","228","  0","  0","  0",NA,"278","233","292","  0","  0","  1","294","244","  0","  0","  0",NA,"  1","300","239","  0","  0","  0","  0","  0","  0"
"V17","283","233","  0","  0","  0","  1","267","206"," 64","  0","  0",NA,NA,NA,"  1","278","211"," 71","  0","  0",NA,"  1","294","233","  0","  0","  0",NA,"272","228"," 33","  0","  0","  1","294","222"," 15","  0","  0","  1","  1","300","256","  0","  0","  0"," 25","  0","  0"
"V21","289","222"," 25","  0","  0","  1","278","211"," 53","  0","  0",NA,NA,NA,"  1","278","228","  0","  0","  0",NA,NA,"283","233","  0","  0","  0",NA,"278","189","  8","  0","  0","  1","289","244","  0","  0","  0",NA,"  1","300","250","  0","  0","  0","  0","  0","  0"
"V25","289","222"," 41","  0","  0","  1","278","233","  5","  0","  0",NA,NA,NA,"  1","278","211"," 25","  0","  0",NA,"  1","283","233","  0","  0","  0","  1","283","233","  0","  0","  0","  1","294","228","198","  0","  0",NA,"  1","300","256","  0","  0","  0","  3","  0","  0"
